Predicado;Conclusão;Confiança;Lift
kernel';c';1;14,5
reverse engineering';c';1;14,5
machine translation';c++';1;10,8
office suite';'c++';1;10,8
middleware';'cloud';1;27,7
code analysis';'django';0,8;121,8
'django';code analysis';1;121,8
creative coding';'java';1;7,3
'cubesats';'python';1;3,8
r';data science';0,9;36,3
'r-project';'data science';1;42
'desktop applications';'qt';1;59,4
'qt';'desktop applications';0,7;59,4
'event management';'python';1;3,8
'fintech';'java';1;7,3
'game';'java';0,95;6,9
'postgis';'gis';1;58
'hardware';'python';0,97;3,7
'high performance computing';'natural language processing';0,76;33,9
'image analysis';'python';0,94;3,6
'ios';'mobile applications';1;71,7
'mobile applications';'ios';1;71,7
'program analysis';'java';1;7,3
'web development';'java';0,76;5,6
'science and enineering';'javascript';1;14,8
'unit testing';'javascript';1;14,8
'logic';'scala';1;97,5
'posix';'operating systems';1;93,7
'scientific computing';python';1;3,8
'mentor', 'kernel';'c';1;14,5
'mentor', 'machine translation';'c++';1;10,8
'mentor', 'cubesats';python';1;3,8
'mentor', 'r';'data science';0,87;36,4
'mentor', 'r-project';'data science';1;42
'mentor', 'desktop applications';'qt';1;59,4
'qt';'mentor', 'desktop applications';0,72;60,8
'mentor', 'event management';'python';1;3,8
'mentor', 'game';'java';0,95;6,9
'mentor', 'hardware';'python';0,95;3,6
'mentor', 'image analysis';'python';0,93;3,5
'image analysis', 'student';'python';0,94;3,6
'mentor', 'ios';'mobile applications';1;71,7
'mentor', 'mobile applications';'ios';1;71,7
'mentor', 'web development';'java';0,84;6,1
'mentor', 'mathematics';'python';0,83;3,2
