Predicado;Conclusão;Confiança;Lift;
'applications';'qt';1;58,6;
'kernel';'c';1;11,6;
'other';'c';1;11,6;
'machine translation';'c++';1;11,1;
'office suite';'c++';1;11,1;
'gnss';'c/c++';1;20,1;
'chat';'javascript';0,92;17,3;
'django';'code analysis';1;96,5;
'creative coding';'java';1;6,8;
'r';'data science';0,78;27,5;
'data science';'r-project';0,74;35;
'r-project';'data science';1;35;
'desktop applications';'qt';1;58,6;
'event management';'python';1;3,9;
'fintech';'java';1;6,8;
'functional-programming';'haskell';1;157,4;
'haskell';'functional-programming';1;157,4;
'game';'java';0,9;6,2;
'games';'java';0,86;5,9;
'hardware';'python';0,84;3,2;
'honeypots';'python';1;3,8;
'image analysis';'python';0,92;3,6;
'network biology';'java';1;6,8;
'program analysis';'java';1;6,8;
'web development';'java';0,8;5,5;
'js';'web';1;28,9;
'logic';'scala';1;49,4;
'scala';'logic';0,8;49,4;
'scientific computing';'python';1;3,8;
'statistical computing';'python';1;3,8;
'mentor', 'kernel';'c';1;11,6;
'django', 'mentor';'code analysis';1;96,5;
'r', 'mentor';'data science';0,8;28,5;
'mentor', 'data science';'r-project';0,75;35,3;
'mentor', 'r-project';'data science';1;35;
'data science', 'student';'r-project';0,72;34;
'student', 'r-project';'data science';1;35;
'event management', 'mentor';'python';1;3,9;
'event management', 'student';'python';1;3,9;
'fintech', 'mentor';'java';1;6,8;
'games', 'mentor';'java';0,9;6,1;
'mentor', 'hardware';'python';0,87;3,6;
'image analysis', 'mentor';'python';0,95;3,7;
'network biology', 'mentor';'java';1;6,8;
'mentor', 'program analysis';'java';1;6,8;
'web development', 'mentor';'java';0,84;5,7;
'logic', 'mentor';'scala';1;49,4;
'scala', 'mentor';'logic';0,79;50,2;
'scientific computing', 'mentor';'python';1;3,9;
'mentor', 'statistical computing';'python';1;3,9;
