,company,developer,gender,gender2,project_url,title,type_developer,year,final_gender
0,PostgreSQL,Hongyuan Ma,male,male,https://github.com/PGPerfFarm/pgperffarm/issues/22,"""Develop Performance Farm Database and Website"" proposal for Google Summer of Code 2018 - 2018 - Google Summer of Code Archive",student,2018,male
1,PostgreSQL,Mark Wong,male,male,https://github.com/PGPerfFarm/pgperffarm/issues/22,"""Develop Performance Farm Database and Website"" proposal for Google Summer of Code 2018 - 2018 - Google Summer of Code Archive",mentor,2018,male
2,PostgreSQL,Stephen Frost,male,male,https://github.com/PGPerfFarm/pgperffarm/issues/22,"""Develop Performance Farm Database and Website"" proposal for Google Summer of Code 2018 - 2018 - Google Summer of Code Archive",mentor,2018,male
3,The Honeynet Project,Abhinav Saxena,male,male,https://github.com/mushorg/conpot/wiki/GSoC-2018---Final-Report,#15 - CONPOT: Protocols Wave #2 - 2018 - Google Summer of Code Archive,student,2018,male
4,The Honeynet Project,Johnny Vestergaard,male,male,https://github.com/mushorg/conpot/wiki/GSoC-2018---Final-Report,#15 - CONPOT: Protocols Wave #2 - 2018 - Google Summer of Code Archive,mentor,2018,male
5,The Honeynet Project,Ulrich Fourier,male,male,https://arm-drakvuf.blogspot.com/,#9 - DRAKVUF: Support for Dynamic Malware Analysis on ARM - 2018 - Google Summer of Code Archive,student,2018,male
6,The Honeynet Project,Sergej Proskurin,male,male,https://arm-drakvuf.blogspot.com/,#9 - DRAKVUF: Support for Dynamic Malware Analysis on ARM - 2018 - Google Summer of Code Archive,mentor,2018,male
7,The Honeynet Project,Tamas K Lengyel,male,male,https://arm-drakvuf.blogspot.com/,#9 - DRAKVUF: Support for Dynamic Malware Analysis on ARM - 2018 - Google Summer of Code Archive,mentor,2018,male
8,INCF,Xiangxiu Meng,,female,https://gist.github.com/kimonoki/11bf99839b6bea45c6d5059e77ead777,2.3 Monitor Sensors signal in 2D and 3D - 2018 - Google Summer of Code Archive,student,2018,?
9,INCF,Paula Popa,female,female,https://gist.github.com/kimonoki/11bf99839b6bea45c6d5059e77ead777,2.3 Monitor Sensors signal in 2D and 3D - 2018 - Google Summer of Code Archive,mentor,2018,female
10,Wikimedia Foundation,Megha Sharma,female,female,https://docs.google.com/document/d/1I3htDwicfIABW3gJWBNsLjPucqSFYFxn72euFSHtZXo/edit?usp=sharing,"[#1Lib1Ref] Build a ""worklist"" tool for campaigns and in-person editing events - 2018 - Google Summer of Code Archive",student,2018,female
11,Wikimedia Foundation,James Hare,male,male,https://docs.google.com/document/d/1I3htDwicfIABW3gJWBNsLjPucqSFYFxn72euFSHtZXo/edit?usp=sharing,"[#1Lib1Ref] Build a ""worklist"" tool for campaigns and in-person editing events - 2018 - Google Summer of Code Archive",mentor,2018,male
12,Wikimedia Foundation,Guilherme Gonçalves,male,male,https://docs.google.com/document/d/1I3htDwicfIABW3gJWBNsLjPucqSFYFxn72euFSHtZXo/edit?usp=sharing,"[#1Lib1Ref] Build a ""worklist"" tool for campaigns and in-person editing events - 2018 - Google Summer of Code Archive",mentor,2018,male
13,Apache Software Foundation,Yasas Gunarathne,,male,https://medium.com/@yasgun/gsoc-2018-with-apache-airavata-user-defined-airavata-workflows-39f0e79234ee,[AIRAVATA-2717] [GSoC] Resurrect User-Defined Airavata Workflows - 2018 - Google Summer of Code Archive,student,2018,?
14,Apache Software Foundation,Suresh Marru,male,male,https://medium.com/@yasgun/gsoc-2018-with-apache-airavata-user-defined-airavata-workflows-39f0e79234ee,[AIRAVATA-2717] [GSoC] Resurrect User-Defined Airavata Workflows - 2018 - Google Summer of Code Archive,mentor,2018,male
15,Apache Software Foundation,Dimuthu Wannipurage,,male,https://medium.com/@yasgun/gsoc-2018-with-apache-airavata-user-defined-airavata-workflows-39f0e79234ee,[AIRAVATA-2717] [GSoC] Resurrect User-Defined Airavata Workflows - 2018 - Google Summer of Code Archive,mentor,2018,?
16,Apache Software Foundation,Eroma Abeysinghe,,male,https://medium.com/@yasgun/gsoc-2018-with-apache-airavata-user-defined-airavata-workflows-39f0e79234ee,[AIRAVATA-2717] [GSoC] Resurrect User-Defined Airavata Workflows - 2018 - Google Summer of Code Archive,mentor,2018,?
17,Wikimedia Foundation,Sahil Khokhar,male,male,https://medium.com/@sahilkhokhar505/google-summer-of-code-2018-wikimedia-foundation-fab7a988afdc,[Analytics] Improvements to Wikistats 2.0 front-end - 2018 - Google Summer of Code Archive,student,2018,male
18,Wikimedia Foundation,Marcel Ruiz Forns,male,male,https://medium.com/@sahilkhokhar505/google-summer-of-code-2018-wikimedia-foundation-fab7a988afdc,[Analytics] Improvements to Wikistats 2.0 front-end - 2018 - Google Summer of Code Archive,mentor,2018,male
19,Apache Software Foundation,Deshani Geethika,,female,https://medium.com/@deshanigeethika/gsoc-2018-apache-allura-personal-dashboard-631b4bc23ec5,[COMDEV-254] Allura - Personal Dashboard - 2018 - Google Summer of Code Archive,student,2018,?
20,Apache Software Foundation,Dave Brondsema,male,male,https://medium.com/@deshanigeethika/gsoc-2018-apache-allura-personal-dashboard-631b4bc23ec5,[COMDEV-254] Allura - Personal Dashboard - 2018 - Google Summer of Code Archive,mentor,2018,male
21,radare,Antide Petit,,male,https://gist.github.com/fcasal/84bf2268dd1f0b225b2e9212d0854f52,[Cutter] Implement Debugging and Emulation support - 2018 - Google Summer of Code Archive,mentor,2018,?
22,radare,Florian MÃ¤rkl,male,male,https://gist.github.com/fcasal/84bf2268dd1f0b225b2e9212d0854f52,[Cutter] Implement Debugging and Emulation support - 2018 - Google Summer of Code Archive,mentor,2018,male
23,radare,Maxime Morin,male,male,https://gist.github.com/fcasal/84bf2268dd1f0b225b2e9212d0854f52,[Cutter] Implement Debugging and Emulation support - 2018 - Google Summer of Code Archive,mentor,2018,male
24,KDE Community,Tarek Talaat,male,male,https://community.kde.org/GSoC/2018/StatusReports/TarekTalaat,[digiKam] Project: Supporting Twitter and One Drive services in digikam export - 2018 - Google Summer of Code Archive,student,2018,male
25,KDE Community,Mohamed Anwer,male,male,https://community.kde.org/GSoC/2018/StatusReports/TarekTalaat,[digiKam] Project: Supporting Twitter and One Drive services in digikam export - 2018 - Google Summer of Code Archive,mentor,2018,male
26,NumFOCUS,Fabian LÃ¶schner,male,male,https://flgsoc18.wordpress.com/2018/08/06/final-review/,[fenics] Maximizing performance on modern architectures with data-level parallelism - 2018 - Google Summer of Code Archive,student,2018,male
27,NumFOCUS,Jack S. Hale,male,male,https://flgsoc18.wordpress.com/2018/08/06/final-review/,[fenics] Maximizing performance on modern architectures with data-level parallelism - 2018 - Google Summer of Code Archive,mentor,2018,male
28,NumFOCUS,Jan Blechta,female,male,https://flgsoc18.wordpress.com/2018/08/06/final-review/,[fenics] Maximizing performance on modern architectures with data-level parallelism - 2018 - Google Summer of Code Archive,mentor,2018,?
29,Wikimedia Foundation,Perside Rosalie,male,female,https://docs.google.com/document/d/1PXT7VLS85NoyB3rYQCVm6jv6JOfKFgm9Zy3bgw_zCmM/edit?usp=sharing,[GSoC proposal 2018] Emoji Twitter bot for Commons images from NYPL fork - 2018 - Google Summer of Code Archive,student,2018,?
30,Wikimedia Foundation,Ariel Glenn,unisex,male,https://docs.google.com/document/d/1PXT7VLS85NoyB3rYQCVm6jv6JOfKFgm9Zy3bgw_zCmM/edit?usp=sharing,[GSoC proposal 2018] Emoji Twitter bot for Commons images from NYPL fork - 2018 - Google Summer of Code Archive,mentor,2018,?
31,Wikimedia Foundation,Derick Ndimnain Alangi,male,male,https://docs.google.com/document/d/1PXT7VLS85NoyB3rYQCVm6jv6JOfKFgm9Zy3bgw_zCmM/edit?usp=sharing,[GSoC proposal 2018] Emoji Twitter bot for Commons images from NYPL fork - 2018 - Google Summer of Code Archive,mentor,2018,male
32,AerospaceResearch.net,Vinay C K,male,male,http://aerospaceresearch.net/?p=949,[gsoc18-a-dd6] DirectDemod: Decoding of Automatic Picture Transmission (NOAA) - 2018 - Google Summer of Code Archive,student,2018,male
33,AerospaceResearch.net,Kai Wilke,female,male,http://aerospaceresearch.net/?p=949,[gsoc18-a-dd6] DirectDemod: Decoding of Automatic Picture Transmission (NOAA) - 2018 - Google Summer of Code Archive,mentor,2018,?
34,AerospaceResearch.net,Uli Bey,unisex,female,http://aerospaceresearch.net/?p=949,[gsoc18-a-dd6] DirectDemod: Decoding of Automatic Picture Transmission (NOAA) - 2018 - Google Summer of Code Archive,mentor,2018,?
35,Apache Software Foundation,Guobao LI,,male,http://edgarlgb.github.io/Gsoc-project/,[SYSTEMML-2083] Language and runtime for parameter servers - 2018 - Google Summer of Code Archive,student,2018,?
36,Apache Software Foundation,Matthias Boehm,male,male,http://edgarlgb.github.io/Gsoc-project/,[SYSTEMML-2083] Language and runtime for parameter servers - 2018 - Google Summer of Code Archive,mentor,2018,male
37,Wikimedia Foundation,Ujjwal Agrawal,male,male,https://phabricator.wikimedia.org/T188597#4490754,[Wikimedia Commons app] Allow users to browse Commons from app - 2018 - Google Summer of Code Archive,student,2018,male
38,Wikimedia Foundation,Nicolas Raoul,male,male,https://phabricator.wikimedia.org/T188597#4490754,[Wikimedia Commons app] Allow users to browse Commons from app - 2018 - Google Summer of Code Archive,mentor,2018,male
39,STE||AR Group,Nikunj Gupta,male,male,https://wp.me/p4pxJf-l4,A C++ Runtime Replacement - 2018 - Google Summer of Code Archive,student,2018,male
40,STE||AR Group,Hartmut Kaiser,male,male,https://wp.me/p4pxJf-l4,A C++ Runtime Replacement - 2018 - Google Summer of Code Archive,mentor,2018,male
41,STE||AR Group,Thomas Heller,male,male,https://wp.me/p4pxJf-l4,A C++ Runtime Replacement - 2018 - Google Summer of Code Archive,mentor,2018,male
42,Debian Project,Doğukan ÇELİK,male,male,https://web.itu.edu.tr/celikd/2018/08/14/gsoc-2018-final-report/,A calendar database of social events and conferences - 2018 - Google Summer of Code Archive,student,2018,male
43,Debian Project,Balram Pariyarath,male,male,https://web.itu.edu.tr/celikd/2018/08/14/gsoc-2018-final-report/,A calendar database of social events and conferences - 2018 - Google Summer of Code Archive,mentor,2018,male
44,LLVM Compiler Infrastructure,Réka Nikolett Kovács,female,female,https://rnkovacs.github.io/gsoc2018/,A checker for dangling string pointers in C++ - 2018 - Google Summer of Code Archive,student,2018,female
45,LLVM Compiler Infrastructure,Gábor Horváth,male,male,https://rnkovacs.github.io/gsoc2018/,A checker for dangling string pointers in C++ - 2018 - Google Summer of Code Archive,mentor,2018,male
46,LLVM Compiler Infrastructure,George Karpenkov,male,male,https://rnkovacs.github.io/gsoc2018/,A checker for dangling string pointers in C++ - 2018 - Google Summer of Code Archive,mentor,2018,male
47,LLVM Compiler Infrastructure,Artem Dergachev,male,male,https://rnkovacs.github.io/gsoc2018/,A checker for dangling string pointers in C++ - 2018 - Google Summer of Code Archive,mentor,2018,male
48,GNU Octave,P SUDEEPAM,,male,https://sudeepam.blogspot.com/2018/08/gsoc-final-post.html,A fast and accurate command line suggestion feature - 2018 - Google Summer of Code Archive,student,2018,?
49,GNU Octave,Douglas Stewart,male,male,https://sudeepam.blogspot.com/2018/08/gsoc-final-post.html,A fast and accurate command line suggestion feature - 2018 - Google Summer of Code Archive,mentor,2018,male
50,GNU Octave,Nicholas Jankowski,male,male,https://sudeepam.blogspot.com/2018/08/gsoc-final-post.html,A fast and accurate command line suggestion feature - 2018 - Google Summer of Code Archive,mentor,2018,male
51,NumFOCUS,Yiannis Simillides,male,male,https://github.com/JuliaDiffEq/FEniCS.jl,A FEniCS wrapper in Julia - 2018 - Google Summer of Code Archive,student,2018,male
52,NumFOCUS,Timo Betcke,male,male,https://github.com/JuliaDiffEq/FEniCS.jl,A FEniCS wrapper in Julia - 2018 - Google Summer of Code Archive,mentor,2018,male
53,NumFOCUS,Mike Innes,male,male,https://github.com/JuliaDiffEq/FEniCS.jl,A FEniCS wrapper in Julia - 2018 - Google Summer of Code Archive,mentor,2018,male
54,NumFOCUS,Jack S. Hale,male,male,https://github.com/JuliaDiffEq/FEniCS.jl,A FEniCS wrapper in Julia - 2018 - Google Summer of Code Archive,mentor,2018,male
55,NumFOCUS,Christopher Rackauckas,male,male,https://github.com/JuliaDiffEq/FEniCS.jl,A FEniCS wrapper in Julia - 2018 - Google Summer of Code Archive,mentor,2018,male
56,Haskell.org,Gagandeep Bhatia,unisex,male,https://hackage.haskell.org/package/Frames-beam,A Library for In-Memory Data Analysis in Haskell - 2018 - Google Summer of Code Archive,student,2018,?
57,Haskell.org,Marco Zocca,male,male,https://hackage.haskell.org/package/Frames-beam,A Library for In-Memory Data Analysis in Haskell - 2018 - Google Summer of Code Archive,mentor,2018,male
58,Haskell.org,Andika D. Riyandi,female,male,https://hackage.haskell.org/package/Frames-beam,A Library for In-Memory Data Analysis in Haskell - 2018 - Google Summer of Code Archive,mentor,2018,?
59,R project for statistical computing,Haoming Jiang,,male,https://gist.github.com/HMJiangGatech/2dae8641c8c663efa8cf03b3aa4072f7,A Major Update for HUGE and SAM - 2018 - Google Summer of Code Archive,student,2018,?
60,R project for statistical computing,Tuo Zhao,unisex,male,https://gist.github.com/HMJiangGatech/2dae8641c8c663efa8cf03b3aa4072f7,A Major Update for HUGE and SAM - 2018 - Google Summer of Code Archive,mentor,2018,?
61,R project for statistical computing,Jason Ge,male,male,https://gist.github.com/HMJiangGatech/2dae8641c8c663efa8cf03b3aa4072f7,A Major Update for HUGE and SAM - 2018 - Google Summer of Code Archive,mentor,2018,male
62,NumFOCUS,Pietro Vertechi,male,male,https://piever.github.io/simpleblog/post/sputnik5/,A modern tool for data exploration based on JuliaDB and WebIO - 2018 - Google Summer of Code Archive,student,2018,male
